date,close,high,low,open,volume,MA7,MA14,MA30,returns,RSI14,MACD,MACD_signal,MACD_hist,lag1,lag3,lag7
2020-02-12,2931.17919921875,2950.5907794506934,2924.7085566255446,2924.7085566255446,143167912,2935.801095145089,2952.902012416295,2940.238240559896,0.004434412648429031,27.659429283385066,2.4510326983054256,12.679835850009493,-10.228803151704067,2918.238525390625,2944.120361328125,2885.885498046875
2020-02-13,2957.06201171875,2970.0032994858148,2937.650427615896,2963.5326556022824,87683284,2936.7255510602677,2945.0448695591517,2943.6892252604166,0.008830170638116863,33.33330867262765,3.5895037150321514,10.861769423014024,-7.272265707981873,2931.17919921875,2911.767578125,2950.5908203125
2020-02-14,2944.120361328125,2970.002933674331,2931.179422702722,2931.179422702722,139707803,2935.801199776786,2940.423025948661,2946.4931477864584,-0.004376523163646118,38.636353891813506,3.408179794240823,9.371051497259385,-5.962871703018562,2957.06201171875,2918.238525390625,2950.5908203125
2020-02-17,2892.355712890625,2937.650040330092,2892.355712890625,2898.826355921098,131738165,2928.40625,2933.490251813616,2948.650008138021,-0.017582381860960505,34.69385240757667,-0.9020964269684555,7.3164219124138175,-8.218518339382273,2944.120361328125,2931.17919921875,2944.120361328125
2020-02-18,2847.061767578125,2911.7676812966106,2847.061767578125,2892.355924558451,97565635,2914.5407366071427,2923.322195870536,2948.650008138021,-0.01565988066773194,30.357129622455275,-7.882005383876276,4.276736453155799,-12.158741837032075,2892.355712890625,2957.06201171875,2944.120361328125
2020-02-19,2898.826416015625,2898.826416015625,2879.4146602956343,2885.8851296863963,110893685,2912.6919991629466,2918.700352260045,2950.8068603515626,0.01818177920373465,41.66666142626534,-9.131397934771485,1.595109575570342,-10.726507510341827,2847.061767578125,2944.120361328125,2911.767578125
2020-02-20,2950.5908203125,2963.5321056781318,2918.2379544461005,2924.708597128916,108000305,2917.3137555803573,2923.3221609933034,2954.2578287760416,0.017857021038197862,58.92851006774716,-5.876851038602581,0.1007174527357575,-5.977568491338339,2898.826416015625,2892.355712890625,2918.238525390625
2020-02-21,2918.238525390625,2950.5913975867657,2918.238525390625,2950.5913975867657,117658802,2915.465087890625,2925.6330915178573,2956.414697265625,-0.010964683648832296,54.098384991742485,-5.840829549177215,-1.0875919476468372,-4.753237601530378,2950.5908203125,2847.061767578125,2931.17919921875
2020-02-24,2905.296630859375,2937.6498438478257,2892.355519437832,2937.6498438478257,113200755,2908.0700334821427,2922.397792271205,2955.98330078125,-0.004434830949782476,43.39621566939824,-6.778447267371575,-2.225763011591785,-4.55268425577979,2918.238525390625,2898.826416015625,2957.06201171875
2020-02-25,2911.767578125,2944.120446950965,2885.885178799915,2885.885178799915,125324724,2903.4482073102677,2919.6247035435267,2954.473486328125,0.0022272931434581533,44.44449102566252,-6.919599859954815,-3.164530381264391,-3.755069478690424,2905.296630859375,2950.5908203125,2944.120361328125
2020-02-26,2898.826416015625,2918.238171735615,2892.3557728510104,2911.767528571001,164120194,2904.3725934709823,2916.389421735491,2952.3166259765626,-0.004444435128200808,43.63639606612078,-7.983677075290416,-4.1283597200695965,-3.8553173552208193,2911.767578125,2918.238525390625,2892.355712890625
2020-02-27,2776.603759765625,2944.679040892252,2769.880697965793,2944.679040892252,227877075,2894.3071637834823,2904.4239501953125,2946.3013509114585,-0.042162806153116406,32.48120838269537,-18.476329214653106,-6.9979536189862985,-11.478375595666808,2898.826416015625,2905.296630859375,2847.061767578125
2020-02-28,2816.941650390625,2816.941650390625,2628.697372374086,2682.4813228411463,211162617,2882.6093401227677,2897.6506696428573,2940.3365559895833,0.014527780740455798,40.24606396598339,-23.268674183217172,-10.252097731832475,-13.016576451384697,2776.603759765625,2911.767578125,2898.826416015625
2020-03-02,2675.75830078125,2823.66456300998,2675.75830078125,2816.9415018488407,206428685,2843.3475516183034,2880.33065359933,2929.018595377604,-0.050119373111543575,30.470436434667334,-38.020679763515545,-15.80581413816909,-22.214865625346455,2816.941650390625,2898.826416015625,2950.5908203125
2020-03-03,2756.434326171875,2810.2184546222343,2689.2042558852872,2722.8193813049425,218258509,2820.232666015625,2867.848876953125,2920.174137369792,0.030150714796276512,37.310446970537754,-42.70954046035513,-21.1865594026063,-21.52298105774883,2675.75830078125,2776.603759765625,2918.238525390625
