Model,RMSE,MAE,MAPE (%)
BiLSTM,54.23687559046759,39.97190920218894,1.0648710233545977
GRU,115.88173601103522,93.03211630544355,2.4569928858279586
LightGBM,34.17996027627163,24.967565277583574,0.665655914680195
